,最高气温,最高气温,最高气温,最高气温,最高气温,最高气温,最高气温
风向,东北风,东南风,东风,北风,南风,西北风,西南风
天气,,,,,,,
中雨,11.0,15.51,18.5,11.0,21.333333333333332,15.2,21.666666666666668
多云,14.11111111111111,13.75,15.0,13.333333333333334,24.333333333333332,21.0,18.666666666666668
小到中雨,12.472222222222223,15.51,17.5,13.0,21.333333333333332,15.2,21.666666666666668
小雨,13.5,11.0,14.5,9.25,21.333333333333332,14.0,13.0
晴,10.25,15.8,18.0,18.0,19.0,18.0,27.5
阴,13.5,16.0,13.0,15.6,14.0,11.0,21.666666666666668
阵雨,12.472222222222223,21.0,26.0,15.333333333333334,28.0,12.0,27.5
雨夹雪,12.472222222222223,15.51,17.5,7.0,21.333333333333332,15.2,21.666666666666668
